,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
450,2.0,3.0,3.0,yes,yes,no,45000000.0,house,Eti-Osa
451,4.0,5.0,5.0,yes,no,no,95000000.0,house,Eti-Osa
452,5.0,5.0,6.0,yes,yes,no,300000000.0,house,Eti-Osa
453,5.0,6.0,6.0,yes,no,no,250000000.0,house,Eti-Osa
454,4.0,4.0,5.0,yes,yes,no,150000000.0,house,Eti-Osa
455,5.0,6.0,6.0,yes,yes,no,1100000000.0,house,Eti-Osa
456,4.0,5.0,5.0,yes,no,no,115000000.0,house,Eti-Osa
457,5.0,6.0,6.0,yes,no,no,230000000.0,house,Eti-Osa
458,5.0,6.0,6.0,yes,yes,no,120000000.0,house,Eti-Osa
459,3.0,4.0,4.0,yes,no,yes,230000000.0,house,Eti-Osa
460,3.0,4.0,4.0,yes,no,yes,41000000.0,house,Eti-Osa
461,5.0,6.0,6.0,yes,no,no,390000000.0,house,Eti-Osa
462,4.0,4.0,5.0,yes,no,yes,95000000.0,house,Eti-Osa
463,4.0,5.0,5.0,yes,yes,no,65000000.0,house,Eti-Osa
464,4.0,5.0,5.0,yes,yes,no,113000000.0,house,Eti-Osa
465,4.0,5.0,5.0,yes,yes,yes,80000000.0,house,Eti-Osa
466,3.0,4.0,4.0,yes,no,yes,250000000.0,house,Eti-Osa
467,2.0,2.0,3.0,yes,yes,yes,45000000.0,house,Eti-Osa
468,4.0,5.0,5.0,yes,yes,no,60000000.0,house,Eti-Osa
469,3.0,4.0,4.0,yes,yes,no,130000000.0,house,Eti-Osa
470,4.0,5.0,5.0,yes,yes,yes,78000000.0,house,Eti-Osa
471,4.0,5.0,5.0,yes,no,no,120000000.0,house,Eti-Osa
472,5.0,6.0,6.0,yes,yes,no,325000000.0,house,Eti-Osa
473,4.0,4.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
474,4.0,5.0,5.0,yes,no,no,78000000.0,house,Eti-Osa
475,5.0,6.0,6.0,yes,yes,no,450000000.0,house,Eti-Osa
476,3.0,4.0,4.0,yes,no,no,30000000.0,house,Eti-Osa
477,5.0,6.0,6.0,yes,yes,no,235000000.0,house,Eti-Osa
478,2.0,2.0,3.0,yes,yes,yes,50000000.0,house,Eti-Osa
479,4.0,5.0,5.0,yes,yes,no,170000000.0,house,Eti-Osa
480,4.0,5.0,5.0,yes,no,no,105000000.0,house,Eti-Osa
481,5.0,6.0,6.0,yes,no,no,120000000.0,house,Eti-Osa
482,4.0,5.0,5.0,yes,no,no,90000000.0,house,Eti-Osa
483,4.0,5.0,5.0,yes,yes,no,140000000.0,house,Eti-Osa
484,2.0,3.0,3.0,yes,no,yes,130000000.0,house,Eti-Osa
485,5.0,6.0,6.0,yes,yes,no,75000000.0,house,Eti-Osa
