Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
Brand New 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,0.0,0.0,0,0,0,65000000
3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,"Command, Ipaja Alimosho Lagos",3.0,3.0,3.0,0,0,0,17000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Makoko Bariga Lagos,3.0,0.0,0.0,0,0,0,110000000
6 Bedroom Duplex Fully Detached,6 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,6.0,0.0,0.0,0,0,0,75000000
3 Bedroom Semi Detached Duplex,3 BEDROOM HOUSE FOR SALE,Jimoh Oladehinde Ifako Gbagada Gbagada Lagos,3.0,0.0,0.0,0,0,0,50000000
5 Units Of 3 Bedroom Flats,3 BEDROOM COMMERCIAL PROPERTY FOR SALE,Off Toyin Street Ikeja Lagos,3.0,0.0,0.0,0,0,0,220000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Abraham Adesanya Estate Ajah Lagos,4.0,0.0,0.0,0,0,0,65000000
2 Numbers Of 2 Bedroom Flats,2 BEDROOM HOUSE FOR SALE,Femi Jefferson Str. Oke Ira Ogba Lagos,2.0,0.0,0.0,0,0,0,40000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Badore Ajah Lagos,3.0,0.0,0.0,0,0,0,60000000
4 Units Of 3 Bedroom Flats,3 BEDROOM HOUSE FOR SALE,Egbeda Alimosho Lagos,3.0,0.0,0.0,0,0,0,75000000
Filling Station,COMMERCIAL PROPERTY FOR SALE,Igbogbo Ikorodu Lagos,0.0,0.0,0.0,0,0,0,250000000
Hotel Space,10 BEDROOM COMMERCIAL PROPERTY FOR SALE,Abaranje Ikotun Igando Lagos,10.0,0.0,0.0,0,0,0,70000000
5bedroom Fully Detached Duplex With A Room Bq,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,0.0,0.0,0,0,0,520000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,0.0,0.0,0,0,0,95000000
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,0.0,0.0,0,0,0,135000000
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Isuti Igando Alimosho Lagos,3.0,3.0,3.0,0,0,0,350000
3 Numbers Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Beckley Estate Alimosho Lagos,3.0,3.0,3.0,0,0,0,60000000
6 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Kujore Str Ojota Lagos,3.0,0.0,0.0,0,0,0,95000000
4 Bedroom Detach Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 1 Ojodu Lagos,4.0,0.0,0.0,0,0,0,150000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Isolo Lagos,4.0,0.0,0.0,0,0,0,75000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,0.0,0.0,0,0,0,130000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,0.0,0.0,0,0,0,530000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,0.0,0.0,0,0,0,55000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,"Peace Estate, Baruwa Ipaja Alimosho Lagos",4.0,5.0,5.0,0,0,0,50000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,0.0,0.0,0,0,0,200000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,5.0,0.0,0.0,0,0,0,270000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,5.0,6.0,6.0,1,0,0,135000000
Newly Built 6 Flats Of 2 Bedroom,2 BEDROOM HOUSE FOR SALE,Ponle Akowonjo Alimosho Lagos,2.0,0.0,0.0,0,0,0,120000000
Hotel Space,10 BEDROOM COMMERCIAL PROPERTY FOR SALE,Badagry Lagos,10.0,0.0,0.0,0,0,0,250000000
School Building,COMMERCIAL PROPERTY FOR SALE,Ago Palace Okota Lagos,0.0,0.0,0.0,0,0,0,450000000
6 Bedroom Duplex,6 BEDROOM HOUSE FOR SALE,Isheri Egbeda Alimosho Lagos,6.0,0.0,0.0,0,0,0,55000000
4 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Abule Egba Lagos,3.0,0.0,0.0,0,0,0,45000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Olaleye Estate Iponri Surulere Lagos,4.0,0.0,0.0,0,0,0,65000000
8 Rooms And Parlor,8 BEDROOM HOUSE FOR SALE,Ipaja Lagos,8.0,0.0,0.0,0,0,0,22000000
Newly Built 30 Units Of 3 Bedroom Flats,3 BEDROOM FLAT / APARTMENT FOR SALE,Oke Ira Ogba Lagos,3.0,0.0,0.0,0,0,0,35000000
3 Bedroom Bungalow,3 BEDROOM HOUSE FOR SALE,Ikeja Lagos,3.0,0.0,0.0,0,0,0,900000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,5.0,0.0,0.0,0,0,0,350000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Lekki Lagos,2.0,0.0,0.0,0,0,0,45000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ahmadu Bello Way Victoria Island Lagos,4.0,0.0,0.0,0,0,0,170000000
2 Numbers Of 2 Bedroom Flat,2 BEDROOM HOUSE FOR SALE,Lasu Isheri Alimosho Lagos,2.0,2.0,2.0,0,0,0,20000000
3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Anifowose Ikeja Lagos,3.0,0.0,0.0,0,0,0,140000000
